Kommunenavn ,Fornavn ,Efternavn ,Parti ,Periode,Indbyggertal
Albertslund ,Sven Aage ,Madsen ,Socialdemokratiet ,1970-1978 
Albertslund ,Finn ,Aaberg ,Socialdemokratiet ,1978-2009,27853
Albertslund ,Steen ,Christiansen ,Socialdemokratiet ,2010- 
Allerød ,Oskar ,Jensen ,Venstre ,1970-1988 
Allerød ,Preben ,Nybo Andersen ,Venstre ,1988-1993 
Allerød ,Eva ,Nejstgaard ,Det Konservative Folkeparti ,1994-2008,23498
Allerød ,Erik ,Lund ,Det Konservative Folkeparti ,2008-2013 
Allerød ,Jørgen ,Johansen ,Det Konservative Folkeparti ,2014-2017 
Allerød ,Karsten ,L√§ngerich ,Venstre ,2018- 
Allinge-Gudhjem ,Emil ,Hansen ,Venstre ,1970-1981 
Allinge-Gudhjem ,Erling ,Marcher ,Socialdemokratiet ,1982-1985 
Allinge-Gudhjem ,Harald ,Kjøller ,Venstre ,1986-2002 
Arden ,Holger ,Larsen ,Lokalliste ,1970-1977 
Arden ,Holger ,Laier ,Socialdemokratiet ,1977
Arden ,Kresten Skalborg ,Hansen ,Venstre ,1978-1985 
Arden ,Arne ,Toft ,Socialdemokratiet ,1986-2001 
Arden ,Hans Christian ,Maarup ,Socialdemokratiet ,2002-2006,2398
Assens ,Knud ,Larsen ,Venstre ,1970-1971 
Assens ,Peter ,Thaysen ,Venstre ,1971-1978 
Assens ,Anders Peter ,Nielsen ,Socialdemokratiet ,1978-1981 
Assens ,Peter ,Thaysen ,Venstre ,1982-1985 
Assens ,Anders Peter ,Nielsen ,Socialdemokratiet ,1986-1989 
Assens ,Hans Ole ,Hansen ,Venstre ,1990-2004 
Assens ,Truels ,Schultz ,Det Konservative Folkeparti ,2004-2006,41369
Assens ,Finn ,Brunse ,Socialdemokratiet ,2007-2013 
Assens ,Søren Steen ,Andersen ,Venstre ,2014- 
Augustenborg ,Anton B. ,Roth ,Lokalliste ,1970-1978 
Augustenborg ,Arthur ,Jespersen ,Socialdemokratiet ,1978-1985 
Augustenborg ,Regnar ,Liboriussen ,Venstre ,1986-1993 
Augustenborg ,Peder ,Dahl ,Det Konservative Folkeparti ,1994-1997 
Augustenborg ,Erik ,Schmidt ,Socialdemokratiet ,1998-2001 
Augustenborg ,Aase ,Nyegaard ,Lokalliste ,2002-2006,3247
Aulum-Haderup ,Johannes ,Danielsen ,Venstre ,1970-1981 
Aulum-Haderup ,Egert H. ,Pedersen ,Venstre ,1982-2001 
Aulum-Haderup ,Christian Dam ,Larsen ,Venstre ,2002-2006,2918 
